date,state,district,pincode,age_0_5,age_5_17,age_18_greater
02-03-2025,Meghalaya,East Khasi Hills,793121,11,61,37
09-03-2025,Karnataka,Bengaluru Urban,560043,14,33,39
09-03-2025,Uttar Pradesh,Kanpur Nagar,208001,29,82,12
09-03-2025,Uttar Pradesh,Aligarh,202133,62,29,15
09-03-2025,Karnataka,Bengaluru Urban,560016,14,16,21
09-03-2025,Bihar,Sitamarhi,843331,20,49,12
09-03-2025,Bihar,Sitamarhi,843330,23,24,42
09-03-2025,Uttar Pradesh,Bahraich,271865,26,60,14
09-03-2025,Uttar Pradesh,Firozabad,283204,28,26,10
09-03-2025,Bihar,Purbi Champaran,845418,30,48,10
